,Date,Time,Latit(N),Long(E),Depth(km),Magnitude,Region
0,2023.01.01,14:26:20,37.0823,28.3768,2.7,  2.2  ,KIZILAGAC-ULA (MUGLA)
1,2023.01.01,13:04:15,40.767,30.939,3.0,  1.9  ,HACISULEYMANBEY-GOLYAKA (DUZCE)
2,2023.01.01,12:36:16,40.4995,32.8888,5.0,  1.9  ,YILDIRIMAYDOGAN-CUBUK (ANKARA)
3,2023.01.01,10:17:18,38.3983,38.9943,1.6,  1.6  ,TARLATEPE-SIVRICE (ELAZIG)
4,2023.01.01,10:03:52,37.9117,26.7727,5.0,  1.6  ,AEGEAN SEA
5,2023.01.01,09:55:45,34.8408,25.0373,5.0,  2.6  ,GIRIT ADASI ACIKLARI (MEDITERRANEAN SEA)
6,2023.01.01,09:26:57,38.6228,42.2653,9.3,  1.7  ,SERINBAYIR-AHLAT (BITLIS)
7,2023.01.01,09:20:22,38.5287,27.7328,5.3,  1.4  ,TURGUTLU (MANISA)
8,2023.01.01,08:19:52,37.5057,26.4732,13.2,  1.5  ,ONIKI ADALAR (MEDITERRANEAN SEA)
9,2023.01.01,07:50:00,40.7697,31.0162,8.0,  1.6  ,HACIYAKUP-GOLYAKA (DUZCE)
10,2023.01.01,07:26:14,36.2338,28.9353,8.8,  2.6  ,MEDITERRANEAN SEA
11,2023.01.01,07:10:16,36.2157,28.9018,10.5,  1.9  ,MEDITERRANEAN SEA
12,2023.01.01,07:05:27,38.455,32.6693,5.3,  1.4  ,AYISIGI-ALTINEKIN (KONYA)
13,2023.01.01,07:01:32,40.7862,30.9728,5.2,  1.4  ,YAZLIK-GOLYAKA (DUZCE)
14,2023.01.01,06:58:06,38.467,44.0168,5.0,  3.0  2.9,YESILAGAC-SARAY (VAN)
15,2023.01.01,06:40:16,37.3193,29.3985,5.0,  0.8  ,KOKE-ACIPAYAM (DENIZLI)
16,2023.01.01,06:12:18,41.1338,34.1668,5.0,  2.7  ,CELTIKCI-TOSYA (KASTAMONU)
17,2023.01.01,06:04:41,35.558,25.7608,6.0,  1.9  ,GIRIT ADASI (MEDITERRANEAN SEA)
18,2023.01.01,06:02:11,37.8507,29.3453,5.0,  2.8  ,KOCABAS-HONAZ (DENIZLI)
19,2023.01.01,05:56:57,37.84,27.0287,12.1,  1.8  ,KUSADASI KORFEZI (AEGEAN SEA)
20,2023.01.01,05:33:38,40.7725,34.547,15.0,  2.4  ,IKIPINAR-ISKILIP (CORUM)
21,2023.01.01,05:25:14,35.5547,25.7963,10.6,  1.8  ,GIRIT ADASI (MEDITERRANEAN SEA)
22,2023.01.01,05:12:16,41.1228,34.1863,5.0,  3.0  ,CAYBASI-TOSYA (KASTAMONU)
23,2023.01.01,03:48:09,38.8973,30.0135,7.7,  1.4  ,BUYUKASLIHANLAR-DUMLUPINAR (KUTAHYA)
